time,bass,drums,vocals,other
0.02,0,0,0,0
0.03,0,0,0,0
0.05,0,0,0,0
0.06,0,0,0,0
0.08,0,0,0,0
0.10,0,0,0,0
0.11,0,0,0,0
0.13,0,0,0,0
0.15,0,0,0,0
0.16,0,0,0,0
0.18,0,0,0,0
0.20,0,0,0,0
0.21,0,0,0,0
0.23,0,0,0,0
0.25,0,0,0,0
0.26,0,0,0,0
0.28,0,0,0,0
0.30,0,0,0,0
0.31,0,0,0,0
0.34,0,0,0,0
0.35,0,0,0,0
0.36,0,0,0,0
0.38,0,0,0,0
0.40,0,0,0,0
0.41,0,0,0,0
0.43,0,0,0,0
0.45,0,0,0,0
0.46,0,0,0,0
0.48,0,0,0,0
0.50,0,0,0,0
0.51,0,0,0,0
0.53,0,0,0,0
0.55,0,0,0,0
0.56,0,0,0,0
0.58,0,0,0,0
0.60,0,0,0,0
0.61,0.5,0,0,0
0.63,3.3333333333333335,0,0,0
0.65,4.666666666666667,0,0,0
0.66,5.333333333333333,0,0,0
0.68,4.666666666666667,0,0,0
0.70,4.166666666666667,0,0,0
0.71,20.833333333333332,28.666666666666668,0.49473684210526314,0
0.73,59.5,77.75,5.589473684210526,0
0.75,87.66666666666667,113.66666666666667,11.494736842105263,0
0.76,107.83333333333333,132.66666666666666,16.63157894736842,0
0.78,120.5,146.5,21.042105263157893,0.08928571428571429
0.80,133.33333333333334,157.66666666666666,24.852631578947367,0.5982142857142857
0.81,140.66666666666666,165.66666666666666,28.4,0.75
0.83,144.83333333333334,170.41666666666666,31.28421052631579,0.8839285714285714
0.85,148,173.33333333333334,33.44210526315789,1.1428571428571428
0.86,150.5,175.75,35.757894736842104,1.75
0.88,153.66666666666666,177.66666666666666,37.38947368421053,2.8392857142857144
0.90,157.16666666666666,178.25,38.421052631578945,3.1339285714285716
0.91,159.5,179.25,39.71578947368421,3.017857142857143
0.93,161.83333333333334,179.83333333333334,40.90526315789474,2.892857142857143
0.95,164.16666666666666,179.83333333333334,43.28421052631579,2.4107142857142856
0.96,164.66666666666666,179.58333333333334,45.66315789473684,2
0.98,165.66666666666666,177.91666666666666,47.92631578947368,1.9910714285714286
1.00,167.16666666666666,176.25,48.90526315789474,2.6607142857142856
1.01,167.83333333333334,175.16666666666666,50.27368421052632,3.3125
1.03,169.5,173.16666666666666,49.96842105263158,3.9642857142857144
1.05,169.83333333333334,171.33333333333334,50.6,4.053571428571429
1.06,174.16666666666666,170.33333333333334,50.27368421052632,3.5535714285714284
1.08,175.5,168.08333333333334,51.02105263157895,3.767857142857143
1.10,175.33333333333334,166.58333333333334,52.50526315789474,4.321428571428571
1.11,175.5,165.16666666666666,54.10526315789474,4.857142857142857
1.13,176,163.25,55.084210526315786,4.991071428571429
1.15,176.83333333333334,162.16666666666666,56.084210526315786,4.883928571428571
1.16,177,162,57.33684210526316,5.491071428571429
1.18,178.16666666666666,161.16666666666666,59,5.839285714285714
1.20,178.66666666666666,161,60,5.839285714285714
1.21,177.5,161.58333333333334,60.63157894736842,5.5625
1.23,177.33333333333334,163.58333333333334,62.98947368421052,5.651785714285714
1.25,178.16666666666666,164.83333333333334,65.03157894736842,6.044642857142857
1.26,177.66666666666666,167.33333333333334,65.21052631578948,5.464285714285714
1.28,178.33333333333334,169.33333333333334,65.98947368421052,5.625
1.30,178.5,170.33333333333334,66.01052631578948,6.089285714285714
1.31,178.5,172.75,65.81052631578947,6.633928571428571
1.33,177.83333333333334,175.08333333333334,65.69473684210526,6.741071428571429
1.35,177.16666666666666,176.25,67.4,6.508928571428571
1.36,176.66666666666666,178,67.74736842105263,6.580357142857143
1.38,177.5,179,68.0421052631579,6.732142857142857
1.40,176.66666666666666,180.66666666666666,68.84210526315789,7.258928571428571
1.41,176.16666666666666,181.91666666666666,69.32631578947368,6.660714285714286
1.43,175.33333333333334,182.58333333333334,69.65263157894736,7.455357142857143
1.45,175.83333333333334,183.66666666666666,70.85263157894737,7.294642857142857
1.46,174,184.75,72.4,7.401785714285714
1.48,173.66666666666666,185.33333333333334,72.13684210526316,6.535714285714286
1.50,172.16666666666666,185.41666666666666,73.10526315789474,6.678571428571429
1.51,171,184.66666666666666,74.87368421052632,7.723214285714286
1.53,170.66666666666666,184.75,75.6,7.473214285714286
